ரேடியோ	radio
மற்றும்	mattrum
ரோமன்	roman
தொன்மங்களைப்	thonmangalai
படித்தார்	padiththaar
கிரிம்	kirim
சகோதரர்களின்	sagothararkalin
கதைகளைப்	kathaikalai
படித்ததால்	padiththathaal
இவர்	ivar
பிற்காலத்தில்	pikaalaththil
ஐரோப்பாவுடன்	ayropavudan
இணைந்தார்	inainthaar
</s>	</s>
பன்னாட்டுச்	pannaattu
செலாவணி	selavaani
அமைப்பை	amaippai
கட்டுப்படுத்த	kattuppadutha
வேண்டிய	vendiya
விதிகள்	vidhigal
அமைப்புகள்	amaipugal
மற்றும்	mattrum
செயல்முறைகளை	seyalmuraigalai
நிறுவிட	niruvida
பிரெட்டன்	britain
வுட்சு	utsu
திட்டவியலாளர்கள்	thittaviyalaalargal
தற்போது	tharpothu
உலக	ulaga
வங்கிக்	vangi
குழுமத்தின்	kuzhumathin
அங்கங்களாக	angangalaka
உள்ள	ulla
பன்னாட்டு	pannaattu
நாணய	naanaya
நிதியம்	nidhiyam
IMF	imf
மற்றும்	mattrum
பன்னாட்டு	pannaattu
புனரமைப்பு	punaramaippu
மற்றும்	mattrum
மேம்பாட்டு	mempaatu
வங்கி	vangi
IBRD	ibrd
ஆகியவறை	aagiyavattrai
உருவாக்கினர்	uruvaakinaar
</s>	</s>
உலகமயமாதலின்	ulagamayamathalin
பல	pala
அம்சங்களுக்கு	amsangalukku
அவர்	avar
தெரிவித்த	therivitha
எதிர்ப்பு	ethirppu
அவரை	avarai
சர்ச்சைக்குரிய	charchaikkuriya
ஒரு	oru
நபராக்கியுள்ளது	nabarakiyullathu
</s>	</s>
பணம்	panam
வாங்குவதில்	vaanguvathil
ஒழுங்குமுறை	ozhungumurai
அல்லது	allathu
இந்திய	indhiya
அரசாங்கத்தினால்	arasaangathinaal
கொடுக்கப்பட்ட	kodukkappatta
பொறுப்புறுதி	porupuruthi
ஏதேனும்	yetheynum
</s>	</s>
தன்னா	tanna
தோஸ்தி	dosti
பிரன்ட்ஸ்	friends
பாரெவெர்	forever
என்ற	endra
பாலிவுட்	boolywood
படத்தில்	padathil
நந்தினி	nandhini
தப்பார் "என்ற	thabaar" endra
பாத்திரத்தில்	paathirathil
டிசம்பர்	december
2005இல்	2005yil
அறிமுகமானார்	arimugamaanar
</s>	</s>
இவனுக்குப்	ivanukku
பின்	pin
இவனுடைய	ivanudaiya
மகனான	maganaana
சந்தமுகன்	santhamugan
ஆட்சிபீடம்	aatchipeedam
ஏறினான்	yerinaan
</s>	</s>
நாடக	naadaga
முறையில்	muraiyil
கற்பித்தல்	karpithal
</s>	</s>
காற்று	kaattru
மாசுபாட்டை	maasupaattai
பூமிக்கு	bumikki
மிக	miga
அருகில்	arugil
புகைப்பனி	puthaippini
வைத்திருப்பதால்	vaithiruppathaal
காற்றில்	kaattril
நச்சுத்தன்மை	natchuthanmai
அதிகமாகிறது	athimagirathu
</s>	</s>
முதன்முதலாக	muthanmuthalaga
கதுப்பு-மீன்	kathuppu-meen
துடுப்புக்களைக்	thuduppukalai
கொண்ட	konda
மீன்களும்	meenkalum
எழும்புகளைக்	ezhumpukalai
கொண்ட	konda
மீன்களும்	meengalum
கூர்வடைந்தன	koorvadaithana
</s>	</s>
இது	ithu
அமெரிக்கவின்	americavin
நேவி	neavy
சீல்ஸ்	seals
மற்றும்	mattrum
பிரித்தானியாவின்	pirithaaniyavin
சிறப்பு	sirappu
படகு	padaku
சேவையுடனும்	sevaiyudanum
ஒப்பிடப்படுகின்றது	oppidappadukindrathu
</s>	</s>
கத்தோலிக்க	catholikka
சீர்திருத்தம்	seerthirutham
16ஆம்	16aam
நூற்றாண்டில்	nootraandil
நிகழ்ந்தபோது	nizhalnthapothu
கிறித்தவக்	christhuva
கலையும்	kalaiyum
வளர்ந்தது	valarnthathu
</s>	</s>
இப்படத்தில்	ippadathil
மூன்று	moondru
பாடல்கள்	paadalkal
உள்ளன	ullana
</s>	</s>
கிராமப்புரங்களில்	kiramapuragalil
மரங்களை	marangalai
நடுவதற்கும்	naduvatharkum
அவற்றைப்	avattari
பாதுகாப்பதற்கும்	paathukkapatharkum
கூட்டுறவுச்	kootruravu
சங்கங்கள்	sangankal
ஏற்படுத்தப்பட்டன	yerpaduthappattana
</s>	</s>
ஜான்	john
மிசெல்	misel
தான்	than
முதன்முதலில்	muthanmuthalil
1767	1767
ஆம்	aam
ஆண்டில்	aandil
இரட்டை	irattai
நட்சத்திரங்கள்	natchathirangal
ஒன்றுடன்	ondrudan
ஒன்று	ondru
தொடர்புபட்டவையாக	thodarbudaiyavaiyaga
இருக்கலாம்	irukkalam
என்று	endru
வாதிட்டார்	vaadhittar
</s>	</s>
மோல்	mole
என்னும்	enbathu
உடலிலுள்ள	udalil ulla
மறுவைக் குறிக்கும்	maruvai
உடலில்	udalil
முள்	mul
போல்	pole
உள்ளமையால்	ullamaiyaal
மோல்	mole
எனப்பட்டது	enappattathu
</s>	</s>
மூர்க்கமான	moorkamaana
இவை	ivai
தூண்டப்பட்டால்	thoondappattal
கொட்டும்	kottum
</s>	</s>
கிரேக்கக்	greeka
கட்டிடக்கலையில்	kattidakkalaiyil
மூன்று	moondru
வகையான	vaigaiyaana
ஒழுங்குகள்	olungukkal
பயன்பாட்டில்	payanpaatil
இருந்தன	irundhana
</s>	</s>
இவ்வாறு	ivvaaru
தமது	thamathu
இருப்பு	iruppu
நிலை	nilai
அறிக்கைகள்	arikaigal
சிறந்து	siranthu
காணப்படுவதற்காக	kaanappaduvatharkaga
அவர்கள்	avargal
அதிகக்	athiga
கடன்	kadan
வழங்கவும்	vazhangavum
அதனால்	athanaal
விலைகள்	vilaikal
உயர	uyara
அதன்	athan
காரணமாக	kaaranamaga
மேலும்	melum
அதிகமாகக்	athigamaka
கடன்களை	kadankalai
வழங்கலாயினர்	vazhangalayinar
</s>	</s>
மேலும்	melum
அதே	athey
சூழ்நிலைச்	soolnilai
சிற்றினத்தைச்	sitrinaththai
சார்ந்த	saarntha
சூழ்நிலை	soolnilai
வகைகளுடன்	vagaikaludan
வளமான	valamana
கலப்பினங்களை	kalapinangalai
உண்டாக்குபவையாகும்	undakupavaiyaagum
</s>	</s>
இந்த	intha
இழப்பு	izhappu
உள்ளிருக்கும்	ullirukkum
நோய்	noi
காரணமாக	kaaranamaga
அறியாமலே	ariyamalaeye
ஏற்படலாம்	yerpadalaam
அல்லது	allathu
தனது	thanathu
உடற்	udar
பருமனைக்	parumanai
குறைக்க	kuraikka
மேற்கொள்ளும்	merkollum
முயற்சிகளால் ளள	muyarchikalal
</s>	</s>
புதிதாய்	puthithaai
பிறந்த	pirantha
குஞ்சுகளிலும்	kunjinkalilum
இளம்	ilam
பறவைகளிலும்	paravaikalilum
இவ்வாறான	ivvaarana
துளையைக்	thulaiyai
காண	kaana
இயலாது	iyalaathu
எனினும்	eninum
அவற்றின்	avatrin
மேநிறம்	meniram
பெரியபறவைகளையொத்தே	periya paravaikalaiyothey
இருக்கும்	irukkum
</s>	</s>
இருந்தாலும்	irunthaalum
அவர்கள்	avarkal
பணிக்கு	panikku
சென்றால்	sendral
குறைவான	kuraivaana
ஊதியம்தான்	oothiyamthaan
பெறமுடிகிறது	peramudiyum
</s>	</s>
ஜூன்	june
22	22
ஆம்	aam
தேதி	theythi
மொண்டிரியலை	mondiriyalai
அடைந்த	adaintha
பாக்ஸ்	box
தனது	thanathu
8000	8000
கிமீ	kilometer
தூர	thoora
மொத்தப்	moththa
பயணத்தில்	payanathil
மூன்றிலொரு	moondriloru
பங்கைக்	pangai
கடந்திருந்தார்	kandanthirunthaar
</s>	</s>
இதை	ithai
வாங்கியவர்	vaangiyavar
தான்	thaan
தீர்மானிக்கும்	theermaanikum
ஒரு	oru
நேரத்திலும்	nerathilum
வேலை	velai
நிபந்தனைகளின்கீழும்	nipanthanaikalinkeelum
பயன்படுத்துகிறார்	payanpaduthukirar
பொதுவாக	pothuvaaka
இதை	ithai
அவர்	avar
பயன்படுத்தியபின்	payanpaduthiyapin
அதற்கான	atharkaana
விலையைச்	vilaiyai
செலுத்துகிறார்	seluthukiraar
</s>	</s>
இந்த	intha
புழுக்கள்	pulukkal
குடலில்	kudalil
செரித்த	seritha
உணவை	unavai
உட்கொண்டு	utkondu
உடல்	udal
வளர்ச்சிக்குத்	valarchikku
தடை	thadai
ஏற்படுத்துகின்றன	yerpaduthukindrana
</s>	</s>
பெல்ஜியம்	belgium
நாட்டின்	naattin
பிரசெல்சு	brussels
நகரில்	nagaril
மத்தியத்	mathiya
தொடருந்து	thodarunthu
நிலையத்தில்	nilaiyathil
தாக்குதல்	thaakuthal
நடத்தப்பட்டது	nadathappattathu
</s>	</s>
இருப்பினும்	irupinum
ஐந்து	ainthu
முதல்தர	muthalthara
துடுப்பாட்டப்	thudupaatta
போட்டிகளில்	potigalil
கலந்து	kalanthu
கொண்டுள்ளார்	kondullaar
</s>	</s>
முள்முருக்கம்பூ	mulmurukkampu
சூதக	soothaga
கட்டு	kattu
மாத	maadha
விலக்கு	vilakku
தடை	thadai
நீங்கும்	neengum
</s>	</s>
பட்டிருப்பு	pattiruppu
</s>	</s>
சில	sila
பொதுவான	podhuvaana
தேர்தல்	therthal
வகைகள்	vagaikal
</s>	</s>
இவையே	ivaiye
இது	ithu
நீந்த	neenga
உதவுகின்றன	uthavukindrana
எனவே	enavey
விரல்	viral
இலையின்	ilaiyin
நடு	nadu
நரம்பு	narambu
போல	pola
அமைந்துள்ளது	amainthullathu
முக்குளிப்பான்	mukkulippan
குடிபெயராத/புலம்பெயராத	kudipeyaraatha/pulampeyaraatha
சுமார்	sumaar
23 செ	23
</s>	</s>
இராமசாமியிடமிருந்து	ramasamiyidamirunthu
பிரிந்து	pirinthu
போகும்	pogum
தருணத்தை	tharunaththai
எதிர்பார்த்துக்	yethirpaathu
காத்திருந்தவர்கள்	kaathirunthavargal
ஜூலை	july
9	9
1948	1948
அன்று	andru
இராமசாமி	ramasamy
தன்னை	thannai
விட	vida
40	40
வயது	vayathu
இளையவரான	ilaiyavaraana
மணியம்மையாரை	maniyammaiyaarai
மறுமணம்	marumanam
புரிந்ததைக்	purinthathai
காரணம்	kaaranam
காட்டி	kaatti
கட்சியிலிருந்து	katchiyilirunthu
அண்ணாதுரைத்	annadurai
தலைமையில்	thalaimaiyil
விலகினர்	vilaginar
</s>	</s>
அந்த	antha
மராத்தானில்	marathanil
அதிக	athiga
எண்ணிக்கையில்	ennikkaiyil
பலர்	palar
கலந்துகொண்டனர்	kalanthukondanar
</s>	</s>
இமய	imaya
மலைத்தொடர்	malaithodar
சீன-இந்திய	china-india
எல்லையில்	ellaiyil
உள்ளது	ullathu
</s>	</s>
புறப்பொருள்	purapporul
வெண்பாமாலை	venbamaalai
வெட்சிப்	vetchi
படலத்தில்	padalathil
வரும்	varum
20	20
துறைகளில்	thuraikalil
ஒன்றாக	ondraka
இதனைக்	ithanai
குறிப்பிடுகிறது	kuripidukirathu
</s>	</s>
மேற்கிந்தியத்	merkindhiya
தீவுகளில்	theevukalil
நடந்த	nadantha
2010 பதுஅ	2010
உலக	ulaga
இருபது20	irupathu20
போட்டியில்	pottiyil
பங்கேற்ற	pangettra
இந்தியத்	indhiya
துடுப்பாட்ட	thaduppaatta
அணியின்	aniyin
அங்கத்தினராக	angathinaraaga
தேர்ந்தெடுக்கப்பட்டார்	thernthedukkappattar
</s>	</s>
ஆடி	aadi
தை	thai
இரு	iru
மாதங்களில்	maanthangalil
108	108
பதார்தங்களுடன்	patharthangaludan
பூசை	poojai
செய்து	seythu
பக்தர்களுக்கு	pakthargalukku
வழங்கப்படுகிறது	vazhangappadukirathu
</s>	</s>
அஸ்வின்	ashwin
சித்லே	sidhley
</s>	</s>
பிரான்சின்	francin
புதிய	puthiya
அரசியலமைப்பை	arasiyalamaippai
ஏற்க	yerka
மறுத்த	maruththa
ஒரேயொரு	oreyoru
பிரெஞ்சுக்	french
குடியேற்ற	kudiyettra
நாடு	naadu
இதுவாகும்	idhuvaagum
</s>	</s>
2010	2010
இல்	il
வான்கூவரில்	vaankooril
நடந்த	nadantha
குளிர்கால	kulirkaala
ஒலிம்பிக்சின்	olympicsin
துவக்க	thoovakka
விழாவில்	vizhaavil
ஒலிம்பிக்	olympic
கொடியை	kodiyai
ஏந்திச்	yenthi
செல்லும்	sellum
8	8
பேர்களில்	porkalil
ஒருவராகச்	oruvaraaga
செல்லும்	sellum
வாய்ப்பு	vaaippu
பாக்சின்	paaxin
தாயாருக்குக்	thaayaarukku
கிடைத்தது	kidaithathu
</s>	</s>
குளத்தில்	kulathil
நீர்	neer
வற்றி	vattri
விட்டால்	vittal
வெகு	vegu
தூரத்திலுள்ள	thoorathilulla
மற்றொரு	mattroru
குளத்திற்கு	kulathirkku
பறந்து	paranthu
செல்லும்	sellum
</s>	</s>
இந்த	intha
ரயில்நிலையம்	rayilnilaiyam
பிரெட்ரிக்	fedrick
வில்லியம்	william
ஸ்டீவென்ஸ்	stevens
என்ற	endra
ஆங்கில	aangila
பொறியாளரால்	poriyaalaraal
வடிவமைக்கப்பட்டது	vadivamaippattathu
</s>	</s>
1931	1931
ஆம்	aam
ஆண்டு	aandu
அமெரிக்காவில்	americavil
பன்னாட்டு	pannaattu
அரிமா	arima
கழகத்தின்	kazhagathin
ஏற்பாட்டில்	yerpaattil
நடைபெற்ற	nadaipettra
மாநாட்டில்	maanaattil
வெள்ளைப்	vellai
பிரம்பு	pirambu
கண்பார்வை	kanpaarvai
அற்றவர்களின்	attravargalin
அடையாளச்	adaiyaala
சின்னம்	sinnam
எனப்	ena
பிரகடனம்	pirakadanam
செய்யப்பட்டதுடன்	seyyappattathudan
இதற்கான	itharkaana
சட்ட	satta
அங்கீகாரமும்	angeekaaramum
வழங்கப்பட்டது	vazhangappattathu
</s>	</s>
சன்னிதிக்குள்	sannathikkul
ஐயன்	ayyan
ஆதிகேசவ	aadhikesava
பெருமாள்	perumaal
அருகில்	arugil
பரமசிவன்	paramasivan
வீற்றிருப்பதையும்	veetruppathaiyum
பக்தர்கள்	pakthargal
காணலாம்	kaanalam
</s>	</s>
இவை	ivai
தமிழில்	thamizhil
நான்மறை	naamarai
என்றும்	endru
கூறப்படும்	koorappadum
</s>	</s>
இவரின்	ivarin
முதல்	muthal
மனைவியான	manaiviyaana
சாராவுக்கு	saaravukku
பிறந்தவர்	piranthavar
ஈசாக்	eezak
இரண்டாம்	irandaam
மனைவியான	manaiviyaana
ஆகாருக்கு	aagarukku
பிறந்தவர்	piranthavar
இஸ்மாயில்	ismayil
</s>	</s>
இதன்	ithan
வழியாக	vazhiyaga
அவர்	avar
தம்	tham
மாட்சியை	maatchiyai
வெளிப்படுத்தினார்	velippaduthinaar
</s>	</s>
எப்படி	eppaadi
உருவாக்குவது	uruvaakuvathu
இந்த	intha
விதைப்	vithai
பந்துகளை	pandhukalai
அனைவரும்	anaivarum
அரிந்துகொள்ள	arinthukolla
வேண்டியது	vendiyathu
அவசியமாகும்	avasiyamaagum
</s>	</s>
வாக்கு	vaakku
மூலம்	moolam
</s>	</s>
செயற்கைக்கோள்	seyarkaikkole
தொலைக்காட்சிகளில்	tholaikaatchikalil
அரசுச்	arasu
செய்திகளை	seythikalai
ஒலிபரப்ப	oliparappa
ஏற்பாடும்	yerpaadum
செய்தார்	seythaar
</s>	</s>
ஆனாலும்கூட	aanalumkuda
பெண்கள்	pengal
தங்களின்	thangalin
பங்களிப்பையும்	pangalippaiyum
செய்து	seythu
வருகிறார்கள்	varukirargal
</s>	</s>
சுகான	sugamaana
சுமைகள்	sumaigal
</s>	</s>
முன்பின்	munpin
அச்சுச்	achu
சுழற்சி	suzharchi
குத்துச்	kuththu
சுழல்வு	suzhalvu
அல்லது	allathu
உருள்வு	urulvu
roll	roll
எனப்படும்	enappadum
</s>	</s>
மேற்பரப்பில்	merparappapil
இருந்து	irunthu
குகைக்குள்	kugaikul
ஊடுருவும்	ooduruvum
நீர்க்கசிவானது	neerkasivaanathu
குகையின்	kugaiyin
வெப்பநிலை	veppanilai
உறைநிலைக்கு	urainilaikku
கீழே	keeley
இருக்குமானால்	irrukumaanaal
தரையில்	tharaiyil
சேகரமாகி	sekaramaagi
புற்றுப்பாறையாக	puttrupaathaiyaga
உருவாகிறது	uruvaagirathu
</s>	</s>
ஒரு	oru
மத்திய	maththiya
பவர்	power
இயந்திர	iyandhira
தொகுப்பைப்	thoguppai
பயன்படுத்தி	payanpaduthi
பத்தாண்டுகளுக்குள்	paththaandukalukkul
பல	pala
நகரங்கள்	nagarangal
லைட்டிங்	lighting
அமைப்புகளைக்	amaippukalai
கொண்டிருக்கும்	kondirukkum
இந்த	intha
பவர்	power
பிளாண்டுகள்	pilaandugal
பல்வேறு	palveru
வாடிக்கையாளர்களுக்கு	vaadikaiyaalargalukku
மின்சார	minsaara
கடத்து	kadathu
லைன்கள்	linegal
மூலம்	moolam
மின்சாரத்தை	minsaarathai
வழங்கின	vazhangina
</s>	</s>
இக்கொள்கை	ikkolkai
ஆரியர்	aariyar
வருகைக்கு	varugaikku
முன்னர்	munnar
சிந்துவெளி	sinthuveli
உள்ளிட்ட	ullitta
இந்தியாவில்	indhiyaavil
இருந்த	iruntha
பழங்குடி	palangudi
மக்களின்	makkalin
கொள்கை	kolkai
என்பதை	enpathai
இந்தியாவில்	indhiyavil
தோன்றிய	thondriya
சமண	samana
பௌத்த	boutha
மதக்	matha
கோட்பாடுகளால்	kotpaadugalal
அறியலாம்	ariyalaam
</s>	</s>
பின்னர்	pinnar
இவ்வளாகம்	ivvalagam
அண்ணா	anna
பல்கலைக்கழகம்	palkalaikkalazhagam
ஆயிற்று	aayittru
</s>	</s>
பெண்	pen
உயிரிகள்	uyirgal
முட்டையிடக்	muttaiyida
கூடியன	koodina
</s>	</s>
சிறுமிகளை	sirumigalai
விட	vida
சிறிதளவே	sirithalavu
சிறுவர்கள்	siruvargal
பிறக்கின்றனர்	parakkindranar
அமெரிக்காவில்	americavil
விகிதாச்சாரம்	vigithaachaaram
சுமார்	sumaar
105	105
சிறுவர்களுக்கும்	siruvargalukkum
100	100
சிறுமிகள்	sirumigal
என்ற	endra
விகிதத்தில்)ஆனால்	vigithathil)aanaal
சிறுமிகள்	sirumigal
சிறுவர்களை	siruvargalai
விட	vida
குறைவாகவே	kuraivaaga
சிறு	siru
வயதில்	vayathil
இறக்கச்	irakka
செய்கின்றனர்	seygirargal
</s>	</s>
டூயட்	duet
</s>	</s>
முகில்வாணன்	mugilvaanan
முகில்வாணன்	mugivaanan
இராசையா	raasaiyaa
மட்டக்களப்பு	mattakkalappu
இலங்கை	ilangai
ஈழத்து	eezhaththu
தமிழ்	thamizh
கவிஞர்	kavingar
</s>	</s>
வெண்சபதம்	vensabatham
செய்வோம்	seivom
வெடிகளென	vedigalena
ஆவோம்	aavom
</s>	</s>
நீதிபதி	neethipathi
ஜான்	john
மைக்கேல்	michael
டி'குன்ஹாவின்	d'kunhavin
தீர்ப்பில்	theerpil
உள்ள	ulla
விபரங்களில்	viparangalil
சில	sila
</s>	</s>
நைநீடால்	nainital
வங்கி	vangi
லி	limited
</s>	</s>
கையால்	kaiyaal
வருடுவதை	varuduvathai
ஏற்கிறது	yerkirathu
</s>	</s>
உச்ச	ucha
நீதிமன்றம்	neethimandram
இவர்கள்	ivargal
கைது	kaithu
தொடர்பாக	thodarbaaga
அரசிடம்	arasidam
பல	pala
கேள்விகளை	kelvigalai
எழுப்பியதுடன்	ezhupiyathudan
அவர்களைச்	avarkalai
சிறையில்	siraiyil
அடைக்ககாமல்	adaikaamal
வீட்டுக்	veettu
காவலில்	kaavalil
வைத்து	vaithu
விசாரிக்க	visarikka
உத்தரவிட்டது	uththaravittathu
</s>	</s>
இரண்டு	irandu
திணிவுடன்	thinivudan
,	,
மூன்று	moondru
சுருள்விற்களை	soorulvirkalai
ஒரு	oru
மையப்புள்ளியில்	maiyappulliyil
பொருத்தினால்	poruthinaal
ஏற்படும்	yerpadum
அலைவுகள்	alaivugal
இணை	inai
அலைவுகள்	alaivugal
ஆகும்	aagum
.	.
</s>	</s>
அவரின்	avarin
ஆட்சி	aatchi
காலத்தில்	kaalathil
இந்தி	indhi
கட்டாய	kattaya
மொழியாகப்	mozhiyaaga
பள்ளிகளில்	pallikalil
அறிமுகப்படுத்தப்பட்டது	arimugappaduthappattathu
</s>	</s>
இவர்	ivar
1987-ஆம்	1987-aam
ஆண்டின்	aandin
பிப்பிரவரி	february
நான்காம்	naangaam
நாளில்	naalil
பிறந்தார்	piranthaar
</s>	</s>
தத்துவரூபம்	thathuvaroobam
ஆன்மரூபம்	aanmaroobam
சிவரூபம்	sivaroobam
என்னும்	ennum
படிநிலைகள்	padinilaigal
ஒவ்வொன்றும்	ovondrum
உருவம்	uruvam
சொரூபம்	soroobam
சுபாவம்	subaavam
விசேடம்	viseydam
வியாத்தி	viyaththi
வியாபகம்	viyabagam
குணம்	kunam
வன்னம்	vannam
–	-
என்னும்	ennum
எட்டாகப்	ettaka
பாகுபாடு	paagupaadu
செய்யப்பட்டுள்ளன	seyyappattullana
</s>	</s>
1947	1947
இந்திய	indhiya
பாகிஸ்தான்	paakisthaan
போரின்	porin
போது	podhu
இந்தக்	indha
கணவாயானது	kanavaayaanathu
பாகிஸ்தானால்	paakisthaanaal
கைப்பற்றப்பட்டது	kaippattrappattathu
</s>	</s>
கரையோரப்	karaiyora
பகுதிகளைக்	paguthikalai
கைப்பற்ற	kaippattra
உதவியமைக்காக	udhaviyamaikka
செனோவா	senova
வெனிசு	venisu
பீசா	peesa
ஆகிய	aagiya
நகரங்கள்	nagarangal
சிலுவை	siluvai
நாடுகளின்	naadukalil
வணிக	vaniga
சிறப்புரிமையைப்	sirapurimaiyai
பெற்றன	pettrana
</s>	</s>
சாரா	saara
தட்டில்	thattil
</s>	</s>
இவ்வளாகத்தில்	ivvalagathil
இதற்கான	itharkaana
மராமத்து	maamaraththu
வேலைகள்	velaigal
நடக்கின்றன	nadakkindrana
</s>	</s>
பழங்கால	pazhangaala
மற்றும்	maattrum
இடைக்கால	idaikkaala
ஐரோப்பாவில்	eiroppavil
கற்பூரம்	karpuram
இனிப்புக்களில்	inippukkalil
உள்ளீட்டுப்	ulleettu
பொருளாக	porulaaga
பயன்பட்டது	payanpattathu
</s>	</s>
எளிதில்	elithil
பணமாதலின்	panamaathalin
மற்றொரு	mattroru
நேர்த்தியான	nerthiyaana
விளக்கமாக	vilakkamaaga
இருப்பது	irupathu
இறுதியாக	iruthiyaaga
நிறைவேற்றப்பட்ட	niraivetrappatta
விலைக்கு	vilaikku
இணையாகவே	inaiyaagavey
அடுத்த	adutha
வர்த்தகமும்	varthakamum
நிறைவேற்றப்படும்	niraivetrappadum
என்னும்	ennum
சாத்தியக்கூறு	saathiyakooru
</s>	</s>
திருவெம்பா	thiruvenba
</s>	</s>
திசைதிரிந்து	thisaithirinthu
தெற்கேகினும்	therkethinum
</s>	</s>
எல்சா	elsa
