ஃபார்ம் faarm
ஃபார்ம் farm
ஃபார்ம் form
ஃபார்ம்	hpaarm
அனுராதபுரத்தில்	anuraadhapuraththil
அனுராதபுரத்தில்	anuraathapuraththil
அனுராதபுரத்தில்	anuradhapuraththil
அனுராதபுரத்தில்	anurathapuraththil
அனுராதபுரம்	anuraathapuram
அனுராதபுரம்	anuradhapuram
அனுராதபுரம்	anurathapuram
அன்னிய	anniya
அன்பை	anbai
அன்பைப்	anbaip
அன்பைப்	anpaip
அன்பையும்	anbaiyum
அன்றி	andri
அன்றி	antri
அன்றிரவு	andriravu
அன்றிரவு	antriravu
அபிநய	abinaya
அபிநய	apinaya
அபுதாபியில்	abudhabiyil
அபுதாபியில்	abuthaabiyil
அபுல்	abul
அபூர்வமான	aboorvamaana
அபூர்வமான	aburvamaana
அபூர்வமான	apoorvamaana
அப்பகுதி	appagudhi
அப்பகுதி	appaguthi
அப்பகுதி	appakuthi
அப்பகுதிகளில்	appaguthigalil
அப்பகுதிகளில்	appaguthikalil
அப்பகுதிகளில்	appakuthikalil
அப்பகுதிக்கு	appaguthikku
அப்பகுதிக்கு	appakuthikku
அப்பகுதியின்	appaguthiyin
அப்பகுதியின்	appakuthiin
அப்பகுதியின்	appakuthiyin
அப்படத்தில்	appadaththil
அப்படத்தில்	appadatthil
அப்படத்தை	appadaththai
அப்படத்தை	appadatthai
அப்படியானால்	appadiyaanaal
அப்பாடல்	appaadal
அப்பாடல்	appaatal
அப்பெண்கள்	apengal
அப்பெண்கள்	apenkal
அப்பெண்கள்	appenkal
அப்பொழுது	appoluthu
அப்பொழுது	appozhudhu
அப்பொழுது	appozhuthu
அமெரிக்கர்	americar
அமெரிக்கர்	amerikkar
அமெரிக்கர்களுக்கு	amerikkargalukku
அமெரிக்கர்களுக்கு	amerikkarkalukku
அமெரிக்கர்கள்	amerikkargal
அமெரிக்கர்கள்	amerikkarkal
அமெரிக்கா	amaerikka
அமெரிக்கா	amarica
அமெரிக்கா	amaricaa
அமெரிக்கா	amarika
அமெரிக்கா	amarikaa
அமெரிக்கா	america
அமெரிக்கா	americaa
அமெரிக்கா	amerika
அமெரிக்கா	amerikaa
அமெரிக்கா	amerikka
அமெரிக்கா	ameriqa
அமெரிக்கா	ameriqaa
அமெரிக்காவிற்கு	americaavirku
அமெரிக்காவிற்கு	americavirkku
அமெரிக்காவிற்கு	americavirku
அமெரிக்காவிற்கு	amerikkaavirku
அமெரிக்காவில்	americaavil
அமெரிக்காவில்	americavil
அமெரிக்காவில்	amerikkaavil
அமெரிக்காவுக்கு	americaavukku
அமெரிக்காவுக்கு	americavukku
அமெரிக்காவுக்கு	amerikkaavukku
அமெரிக்காவை	americaavai
அமெரிக்காவை	americavai
அமெரிக்காவை	amerikkaavai
அமைச்சுப்	amaichchup
அமைத்து	amaiththu
அமைத்து	amaithu
அமைத்து	amaitthu
அமைத்துத்	amaiththuth
அமைத்துத்	amaithuth
அமைத்துத்	amaitthuth
அம்சங்களில்	amachankalil
அம்சங்களில்	amasankalil
அம்சங்களில்	amsangalil
அம்சங்களில்	amsangkalil
அம்சங்களும்	amchankalum
அம்சங்களும்	amsangalum
அம்சங்களும்	amsankalum
அம்சங்களைக்	amsangalaik
அம்சங்களைக்	amsangazhaik
அம்சங்களைக்	amsanggalaik
அம்சத்தை	amsaththai
அம்சமான	amchamaana
அம்சமான	amchamana
அம்சமான	amsamaana
அம்பலவாணர்	ambalavaanar
அம்பலவாணர்	ambalavanar
அம்பலவாணர்	ampalavaanar
அயன	ayana
அயிரை	ayirai
அய்ரோப்பிய	airoappiya
அய்ரோப்பிய	airoopiya
அய்ரோப்பிய	airoppiya
அய்ரோப்பிய	ayrooppiya
அய்ரோப்பிய	ayropiya
அய்ரோப்பிய	europe
அரக்க	arakka
அரக்க	arrakka
அரக்கன்	arakkan
அரக்கன்	arrakkan
அரக்கு	arakku
அரக்கு	araku
அருப்புக்கோட்டை	aruppukkoattai
அருப்புக்கோட்டை	aruppukkoottai
அருப்புக்கோட்டை	aruppukkottai
அருப்புக்கோட்டை	aruppukoattai
அரும்பு	arumbu
அர்ப்பணித்த	arppaniththa
அறியப்பட்ட	ariyappatta
அறியப்பட்டது	ariyappattadhu
அறியப்பட்டது	ariyappattathu
அறியப்பட்டு	ariyappattu
அறியார்	ariyaar
அறியும்	ariyum
அறிவது	arivadhu
அறிவது	arivathu
அறிவன்	arivan
அறிவன்	arivin
அறிவர்	arivar
அறிவின்	arivin
அறிவிப்புகளை	arivippugalai
அறிவிப்புகளை	arivippukalai
அறிவில்	arivil
அறிவுள்ள	arivulla
அறுபதாம்	arupathaam
அறுபதுகளில்	arupathugalil
அறுபதுகளில்	arupathukalil
அறுபத்து	arupaththu
அறுபத்து	aupaththu
அறைகூவல்	araiguuval
அறைகூவல்	araikooval
அறைகூவல்	araikuuval
அலகால்	alagaal
அலகால்	alakaal
அலகில்	alagil
அலகில்	alakil
அலியும்	aliyum
அளவால்	alavaal
அளவுகடந்த	alavukadandhdha
அளவுகடந்த	alavukadandhtha
அளவுகடந்த	alavukadantha
அளவுகடந்த	alavukatandhdha
அளவுகடந்த	alavukatandhtha
அளவுகளும்	alavugalum
அளவுகளும்	alavukalum
அளவுகளை	alavugalai
அளவுகளை	alavukalai
அளவுகள்	alavugal
அளவுகள்	alavukal
அளவுக்குச்	alavukkuch
அளவுக்குப்	alavukkup
அளவுக்கும்	alavukkum
அளவுள்ள	alavulla
அழகி	alagi
அழகி	alaki
அழகி	azhagi
அழகி	azhaki
அழகினை	alaginai
அழகினை	alakinai
அழகினை	alazhaginai
அழகினை	azhaginai
அழகினை	azhakinai
அழகின்	alagin
அழகின்	alakin
அழகின்	azhagin
அழகின்	azhakin
அழகியான	alakiyaana
அழகியான	alazhagiyaana
அழகியான	azhagiyaana
அழகியான	azhakiyaana
அழகில்	alagil
அழகில்	alakil
அழகில்	azhagil
அழகில்	azhakil
அழித்தது	azhiththadhu
அழித்தது	azhiththathu
அழித்தன	azhiththana
அழித்தனர்	azhiththanar
அழித்தவன்	azhiththavan
அழித்தான்	aliththaan
அழித்தான்	azhiththaan
அழித்தார்	aliththaar
அழித்தார்	azhiththaar
அழுத்தி	aluththi
அழுத்தி	azhuththi
அழைப்பு	alaippu
அழைப்பு	azhaippu
அவதாரங்களில்	avathaaranggalil
அவதாரங்களில்	avathaarangkalil
அவதாரங்கள்	avathaaranggal
அவதாரங்கள்	avathaarangkal
அவதாரத்தில்	avathaaraththil
அவதார்	avatar
அவதார்	avathaar
அவனுடைய	avanudaiya
அவரிடம்	avaridam
அவற்றுடன்	avatrtrudan
அவற்றுடன்	avatrudan
அவற்றுடன்	avattrudan
அவளுக்கு	avalukku
அவளுடன்	avaludan
அவளைக்	availaik
அவளைக்	avalaik
அவளைத்	avalaith
அவளைப்	avalaip
அவ்வகை	avvagai
அவ்வகை	avvakai
ஆகஸ்ட்	aagast
ஆகஸ்ட்	aagust
ஆகஸ்ட்	aakast
ஆகஸ்ட்	agast
ஆகஸ்ட்	august
ஆகஸ்ட்	auuguust
ஆகஸ்ட்	avgast
ஆகஸ்ட்	awgast
ஆகிவிட	aagivida
ஆகிவிட	aagivita
ஆகிவிட	aakivida
ஆகிவிடும்	aagividum
ஆகிவிடும்	aagivitum
ஆகிவிடும்	aakividum
ஆக்ஸ்போர்ட்	aaakspoard
ஆக்ஸ்போர்ட்	aaksfoard
ஆக்ஸ்போர்ட்	aakspoard
ஆக்ஸ்போர்ட்	oxford
ஆசிரமத்திற்கு	aasiramaththirku
ஆசிரமத்திற்கு	aasiramaththiruku
ஆசிரமத்தில்	aasiramaththil
ஆசிரமம்	aachiramam
ஆசிரமம்	aashram
ஆசிரமம்	aasiramam
ஆசிரமம்	aasram
ஆசிரமம்	ashram
ஆசிரமம்	ashramm
ஆசிரமம்	asram
ஆசிரமம்	asramm
ஆசிரியராகப்	aasiriyaraakap
ஆசிரியராகப்	assiriyaraagap
ஆசிரியராகவும்	aasiriyaraakavum
ஆசிரியராகவும்	assiriyaraagavum
ஆஞ்சநேயர்	aanchchanaeyar
ஆஞ்சநேயர்	aanjaneayar
ஆஞ்சநேயர்	aanjchanaeyar
ஆஞ்சநேயர்	anjaneyar
ஆடிப்பூர	aadippoora
ஆடிப்பூரம்	aadippooram
ஆடுகளில்	aadugalil
ஆடுகளில்	aadukalil
ஆடுபவர்	aadubavar
ஆடுபவர்	aadupavar
ஆடும்	aadum
ஆடுவர்	aaduvar
ஆட்டி	aatti
ஆட்டின்	aattin
ஆண்களிடம்	aangalidam
ஆண்களிடம்	aangalitam
ஆண்களிடம்	aankalitam
ஆண்களின்	aangalin
ஆண்களின்	aankalin
ஆண்களிலும்	aangalilum
ஆண்களிலும்	aankalilum
ஆண்களுக்கான	aangalukkaana
ஆண்களும்	aangalum
ஆண்களும்	aankalum
ஆண்களே	aangalae
ஆண்களே	aankalae
ஆண்களைக்	aangalaik
ஆண்களைக்	aankalaik
ஆண்கள்	aangak
ஆண்கள்	aangal
ஆண்கள்	aankal
ஆண்ட	aanda
ஆண்ட	aanta
ஆண்டது	aandathu
ஆண்டது	aantathu
ஆண்டனர்	aandanar
ஆண்டனர்	aantanar
ஆண்டர்சன்	aandarchan
ஆண்டர்சன்	aandarsan
ஆண்டர்சன்	andarshon
ஆண்டர்சன்	andarson
ஆண்டர்சன்	anderson
ஆண்டவர்	aandavar
ஆண்டவர்	aantavar
ஆண்டிலிருந்து	aandilirunththu
ஆண்டிலிருந்து	aandilirunthu
ஆண்டே	aandae
ஆண்டே	aantae
ஆதரவாக	aatharavaaga
ஆதரவாக	aatharavaaka
ஆதரவாகச்	aatharavaagach
ஆதரவாகச்	aatharavaakach
ஆதரவாகச்	aatharvaagach
ஆதரிக்கவில்லை	aatharikkavillai
ஆத்மா	aathmaa
ஆத்மாவின்	aathmaavin
ஆத்மாவில்	aathmaavil
ஆந்தை	aanthai
ஆந்தை	aanththai
ஆனைமலை	aanaimalai
ஆன்	aan
ஆன்	aana
ஆன்	ain
ஆன்	ainn
ஆன்	an
ஆன்	ann
ஆன்	ein
ஆன்	einn
ஆன்	en
ஆன்	enn
ஆன்	on
ஆன்மா	aanmaa
ஆன்மா	anema
ஆன்மா	aniima
ஆன்மா	anima
ஆன்மா	animaa
ஆன்மா	anma
ஆன்மா	enima
ஆன்மாவுக்கு	aanmaavukku
ஆபிரிக்கா	aapirikkaa
ஆபிரிக்கா	africa
ஆப்பிரிக்காவிலும்	aappirikkaavilum
ஆப்பிரிக்காவிலும்	aappirikkavilum
ஆப்பிரிக்காவிலும்	africaavilum
ஆப்பிரிக்காவுக்கு	aappirikkaavukku
ஆப்பிரிக்காவுக்கு	africaavukku
ஆப்பிரிக்காவுக்கு	africavukku
ஆப்பிரிக்காவை	aappirikkaavai
ஆப்பிரிக்காவை	africaavai
ஆப்பிரிக்காவை	africavai
ஆயின	aayeena
ஆயின	aayina
ஆயினர்	aayeenar
ஆயினர்	aayinar
ஆயிர	aayera
ஆயிர	aayira
ஆயிரக்கணக்கில்	aayerakkanakkil
ஆயிரக்கணக்கில்	aayirakkanakkil
ஆயிரத்திற்கும்	aayeraththirkum
ஆயிரத்திற்கும்	aayiraththirkum
ஆயிரத்து	aayeraththu
ஆயிரத்து	aayiraththu
ஆயிரத்தை	aayeraththai
ஆயிரத்தை	aayiraththai
ஆயிரம்	aayeram
ஆயிரம்	aayiram
ஆயில்	ayil
ஆயில்	oial
ஆயில்	oil
ஆயில்	oill
ஆயில்	ouil
ஆயில்	ouuil
ஆயில்	oyal
ஆயுளை	aayulai
ஆய்த	aaitha
ஆய்த	aaytha
ஆய்வுகளின்	aaivukalin
ஆய்வுகளின்	aayuvugalin
ஆய்வுகளின்	aayvugalin
ஆய்வுகளின்	aayvukalin
ஆய்வுகளுக்கு	aaivukalukku
ஆய்வுகளுக்கு	aayvugalukku
ஆய்வுகளுக்கு	aayvukalukku
ஆய்வுகளையும்	aaivukalaiyum
ஆய்வுகளையும்	aayvugalaiyum
ஆய்வுகளையும்	aayvukalaiyum
ஆய்வுகள்	aaivukal
ஆய்வுகள்	aayvugal
ஆய்வுகள்	aayvukal
ஆய்வுக்	aaivuk
ஆய்வுக்	aayvuk
ஆய்வுக்கட்டுரை	aaivukkatturai
ஆய்வுக்கட்டுரை	aayvukkatturai
ஆய்வுக்கட்டுரைகள்	aaivukkatturaikal
ஆய்வுக்கட்டுரைகள்	aayvukkatturaigal
ஆய்வுக்கட்டுரைகள்	aayvukkatturaikal
ஆய்வுக்காக	aaivukkaaaka
ஆய்வுக்காக	aayvukkaaga
ஆய்வுக்காக	aayvukkaaka
ஆய்வுக்கான	aaivukkaana
ஆய்வுக்கான	aayvukkaana
ஆய்வுக்கு	aaivukku
ஆய்வுக்கு	aayvukku
ஆய்வும்	aaivum
ஆய்வும்	aayvum
ஆரியர்	aariyar
ஆரியர்களின்	aariyargalin
ஆரியர்களின்	aariyarkalin
ஆர்ப்பாட்டங்களை	aarppaattangalai
ஆர்ப்பாட்டங்களை	aarppaattanggalai
ஆர்ப்பாட்டங்களை	aarppaattangkalai
ஆர்ப்பாட்டங்கள்	aarppaattangal
ஆர்ப்பாட்டங்கள்	aarppaattanggal
ஆர்ப்பாட்டங்கள்	aarppaattangkal
ஆர்ப்பாட்டம்	aarppaattam
ஆர்வத்தில்	aarvaththil
ஆர்வத்தை	aarvaththai
ஆர்வத்தைக்	aarvaththaik
ஆர்வமும்	aarvamum
ஆறே	aarae
ஆற்காடு	aarkaadu
ஆற்காடு	aatkaadu
ஆற்காடு	arcod
ஆற்றலால்	aatralaal
ஆற்றலால்	aatrtralaal
ஆற்றலில்	aatrtralil
ஆற்றலில்	aattralil
ஆற்றலுள்ள	aatrtralulla
ஆற்றலுள்ள	aattralulla
ஆற்று	aatrtru
ஆற்று	aattru
ஆற்றுக்கு	aatrtrukku
ஆற்றுக்கு	aattrukku
ஆலயங்களின்	aalayangalin
ஆலயங்களின்	aalayanggalin
ஆலயங்களின்	aalayangkalil
ஆலயங்களின்	aalayankalin
ஆலயங்களை	aalayangalai
ஆலயங்களை	aalayanggalai
ஆலயங்களை	aalayangkalai
ஆலயங்களை	aalayankalai
ஆலயத்	aalayath
ஆலயத்திற்கு	aalayaththirku
ஆலயத்திற்கு	aalayatthirkku
ஆலயத்துக்கு	aalayaththukku
ஆலயமும்	aalayamum
ஆலையம்	aalaiyam
ஆலையம்	aalaiyum
ஆலோசனைகளையும்	aaloachanaikalaiyum
ஆலோசனைகளையும்	aaloasanaigalaiyum
ஆலோசனைகளையும்	aaloasanaikalaiyum
ஆலோசனைகளையும்	aaloasanaikalayum
ஆலோசனைகளையும்	aalosanaigalaiyum
ஆலோசனைகளையும்	aalosanaikalayum
ஆலோசனைகள்	aaloachanaikal
ஆலோசனைகள்	aaloasanaigal
ஆலோசனைகள்	aaloasanaikal
ஆலோசனைகள்	aalosanaigal
ஆலோசனைகள்	aalosanaikal
இக்கருவி	ikkaruvi
இக்கருவியை	ikkaruviyai
இக்கூட்டத்தில்	ekkoottaththil
இக்கூட்டத்தில்	ikkoottaththil
இங்கேதான்	engkaethaan
இங்கேதான்	ingaethaan
இங்கேதான்	ingkaethaan
இசைக்கருவி	ichaikkaruvi
இசைக்கருவி	isaikkaruvi
இசைக்கருவிகளை	ichaikkaruvikalai
இசைக்கருவிகளை	isaikkaruvigalai
இசைக்கருவிகளை	isaikkaruvikalai
இசைக்கருவியை	ichaikkaruviyai
இசைக்கருவியை	isaikkaruviyai
இஞ்சி	inchchi
இஞ்சி	inchi
இஞ்சி	injchi
இடஒதுக்கீடு	idaodhikkeedu
இடஒதுக்கீடு	idaodhukkeedu
இடஒதுக்கீடு	idaothukkeedu
இடத்தில	idaththila
இடத்திலும்	idaththilum
இடித்து	idiththu
இடித்து	vittu
இடிப்பு	idippu
இடுகைகளில்	idugaigalil
இடையூறாக	idaiyooraaga
இடையூறாக	idaiyooraaka
இடையேயான	idaiyaeyaana
இணையானது	inaiyaanadhu
இணையானது	inaiyaanathu
இணையானவை	inaiyaanavai
இதனால்	idhanaal
இதனால்	ithanaal
இதனால்தான்	idhanaalthaan
இதனால்தான்	ithanaalthaan
இதர	idhara
இதர	itara
இதர	ithara
இதர	othar
இதர	othara
இதர	other
இதர	othera
இதழாக	idhazhaaga
இதழாக	ithalaaka
இதழாக	ithazhaaka
இதோ	idhoa
இதோ	ithoa
இத்திரைப்படத்தின்	iththiraippadaththin
இத்திரைப்படத்தை	iththiraippadaththai
இத்தீவில்	iththeevil
இத்தீவு	iththeevu
இந்தியானா	indana
இந்தியானா	indiana
இந்தியானா	inidiiana
இந்தியானா	inidiyana
இந்தியானா	intiyana
இந்தியாவிற்குள்	indiavirkul
இந்தியாவிற்குள்	inthiyaavirkul
இந்தியாவிற்குள்	inththiyaavirkul
இந்தியாவில்	indiavil
இந்தியாவில்	inthiyaavil
இந்தியாவில்	inththiyaavil
இந்தியாவை	indiavai
இந்தியாவை	inthiyaavai
இந்தியாவை	inththiyaavai
இந்துக்	indhuk
இந்துக்களுக்கு	indhukkalukku
இந்நிகழ்வுக்கு	innigazhvukku
இந்நிகழ்வுக்கு	inthnikalvukku
இந்நிகழ்வை	innigazhvai
இந்நிகழ்வை	inthnikalvai
இந்நிறுவனங்கள்	inniruvanangal
இந்நிறுவனங்கள்	inniruvananggal
இந்நிறுவனங்கள்	inthniruvanangkal
இந்நிறுவனம்	inniruvanam
இந்நிறுவனம்	inthniruvanam
இந்நோயை	innoayai
இந்நோயை	innooyai
இந்நோயை	inthnoayai
இனத்தவர்	inaththavar
இனம்	enra
இனம்	entra
இனம்	inam
இனம்	yenra
இனவாதம்	inavaatham
இனவிருத்தி	inaviruththi
இனைய	inaiya
இன்கா	incoa
இன்கா	ingaa
இன்கா	inkaa
இன்னல்	innal
இன்னல்	innel
இன்னல்கள்	innalgal
இன்னல்கள்	innalkal
இன்னல்கள்	innelkal
இன்னிசை	innichai
இன்னிசை	innisai
இன்னிசைக்	innichaik
இன்னிசைக்	innisaik
இன்னும்	innum
இன்றளவிலும்	indralavilum
இன்றளவிலும்	inralavilum
இன்றளவிலும்	intralavilum
இன்றளவும்	indralavum
இன்றளவும்	inralavum
இன்றளவும்	intralavum
இன்றி	indri
இன்றி	inri
இன்றி	intri
இன்றித்	indrith
இன்றித்	inrith
இன்றித்	intrith
இன்றியும்	indriyum
இன்றியும்	inriyum
இன்றியும்	intriyum
இப்படை	ippadai
இப்படை	ippatai
இப்பறவை	ipparavai
இப்பறவைகள்	ipparavaigal
இப்பறவைகள்	ipparavaikal
இப்பள்ளி	ippalli
இப்பள்ளியில்	ippalliyil
இப்பாதை	ippaadhai
இப்பாதை	ippaathai
இப்பாதையில்	ippaadhaiyil
இப்பாதையில்	ippaathaiyil
இப்பொருட்கள்	ipporutkal
இப்போதைய	ippoathaiya
இப்ராகிம்	ibraahim
இப்ராகிம்	ibraakim
இப்ராகிம்	ibrahim
இப்ராகிம்	ipraakim
இமயமலையின்	imayamalaiyin
இமாச்சல	himachala
இமாச்சல	imaachchala
இமாச்சலப்	himachalap
இமாச்சலப்	imaachchalap
இம்மக்கள்	immakkal
இயக்கத்தைச்	iyakkaththaich
இயக்கு	iyakku
இயல்பையும்	eiyalpaiyum
இயல்பையும்	iyalbaiyum
இரட்டிப்பாக	erattippaaka
இரட்டிப்பாக	irattippaaga
இருக்க	irukka
இருக்கக்	koodaathu
இருக்கக்	koodadhu
இருக்கக்	koodum
இருக்கக்	kutatu
இருக்கப்	irukkap
இருக்கவில்லை	irukkavillai
இருக்கவோ	irukkavoa
இருக்கும்போது	irukkumpoathu
இருசக்கர	iruchakkara
இருசக்கர	irusakkara
இருப்பை	iruppai
இருப்பையும்	iruppaiyum
இருமல்	irumal
இருமுறை	irumurai
இரும்புத்	irumbuth
இரும்புத்	irumputh
இரும்புப்	irumbub
இரும்புப்	irumpup
இறுகி	irugi
இறுகி	iruki
இறுகிக்	irugik
இறுகிக்	irukik
இலக்க	ilakka
இலக்கம்	ilakkam
இலக்கின்	ilakkin
இலக்கில்	ilakkil
இலட்ச	ilatcha
இலட்ச	latcha
இலட்சத்திற்கும்	ilatchaththirkum
இலட்சத்திற்கும்	ilatchiyaththirkum
இலட்சத்திற்கும்	latchaththirkum
இலட்சத்திற்கும்	latchiyaththirgum
இலட்சுமி	ilatchumi
இலட்சுமி	lakshmi
இலட்சுமி	latchchumi
இல்லையென	illaiyena
இல்லையெனில்	illaiyenil
இளம்வயதிலேயே	ilamvayathilaeyae
இளம்வயதிலேயே	ilamvayathileayea
இளம்வயதிலேயே	ilamvayidhilaeyae
இழந்து	ilanthu
இழந்து	izhanththu
இழந்து	izhanthu
இவற்றுக்கும்	evatrtrukkum
இவற்றுக்கும்	ivatrtrukkum
இவற்றுக்கும்	ivatrukkum
இவா	evaa
இவா	ivaa
இவை	evai
இவை	ivai
இவைகளால்	evaikalaal
இவைகளால்	ivaikalaal
இவைகளில்	evaikalil
இவைகளில்	ivaigalil
இவைகளுக்கு	evaikalukku
இவைகளுக்கு	ivaigalukku
இவைகளே	evaikalae
இவைகளே	ivaigalae
இவைகளை	evaikalai
இவைகளை	ivaigalai
இவைகளைத்	evaikalaith
இவைகளைத்	ivaigalaith
இவைதான்	evaithaan
இவைதான்	ivaithaan
இவையெல்லாம்	evaiyellaam
இவையெல்லாம்	ivaiyellaam
இவையெல்லாம்	ivvaiyellaam
இவையே	evaiyae
இவையே	ivaiyae
இவையே	ivvaiyae
ஈசனின்	eesanin
ஈசன்	eesan
ஈசல்	eesal
ஈய	eeya
ஈய	iiya
ஈய	iya
ஈர்ப்பு	eerppu
ஈர்ப்பு	ierppu
ஈர்ப்பு	irppu
ஈர்ப்புப்	eerppup
ஈர்ப்புவிசை	eerppuvisai
ஈறு	eeru
ஈறுகளை	eerugalai
ஈறுகளை	eerukalai
ஈவு	eevu
ஈவு	evu
உகந்த	ugandha
உகந்த	ukandha
உகந்த	ungantha
உகந்தவை	ugandhavai
உகந்தவை	ukandhavai
